n,expected_2n_minus_1,recursive_moves,iterative_moves,recursive_time_s,iterative_time_s
1,1,1,1,0,3e-07
2,3,3,3,0,4e-07
3,7,7,7,0,6e-07
4,15,15,15,1e-07,6e-07
5,31,31,31,1e-07,5e-07
6,63,63,63,3e-07,1e-06
7,127,127,127,0,8e-07
8,255,255,255,2e-07,1.3e-06
9,511,511,511,3e-07,2.2e-06
10,1023,1023,1023,5e-07,4e-06
11,2047,2047,2047,7e-07,7.6e-06
12,4095,4095,4095,1.5e-06,1.48e-05
13,8191,8191,8191,3.1e-06,2.93e-05
14,16383,16383,16383,6.6e-06,5.82e-05
15,32767,32767,32767,1.43e-05,0.0001161
16,65535,65535,65535,3.12e-05,0.0002318
17,131071,131071,131071,6.78e-05,0.0004639
18,262143,262143,262143,0.0001447,0.0009316
19,524287,524287,524287,0.0003017,0.0019634
20,1048575,1048575,1048575,0.0006139,0.0037789
21,2097151,2097151,2097151,0.0012223,0.007456
22,4194303,4194303,4194303,0.0023905,0.0148903
